,player_name,school,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA_x,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,porpag,adjoe,pfr,year,pid,ast/tov,pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,all_star,total_points,PPG,conference_B10,conference_B12,conference_BE,conference_Non_major,conference_P10,conference_P12,conference_SEC,Pos_F,Pos_G
0,Charles Jenkins,Hofstra,32,92.4,123.2,28.7,57.7,62.93,1.6,8.6,31.3,12.8,179,217,0.8250000000000001,176,317,0.555,63,152,0.414,1.8,2.7,46.3,4,75,6.6501600000000005,136.761,2.1,2011,57,2.11262845,44.0,107.807,106.346,2.6405000000000003,192.18400000000003,8.134089999999999,9.32934,-1.19525,8.301,37.4063,8.4,-0.099,0,720,22.5,0,0,0,1,0,0,0,0,1
1,Richard Hendrix,Alabama,32,73.1,117.4,26.2,60.1,59.36,13.1,23.5,11.5,12.3,108,201,0.537,227,376,0.604,2,7,0.28600000000000003,7.2,2.4,52.5,3,81,4.7791,130.431,3.8,2008,65,0.92727484,49.0,96.4548,91.9969,3.63708,236.544,10.1618,5.6184,4.54341,9.197000000000001,30.625,7.032,2.165,0,568,17.75,0,0,0,0,0,0,1,1,0
2,Vernon Macklin,Florida,37,59.7,107.5,24.3,59.3,57.77,10.9,15.0,7.7,17.7,46,102,0.451,191,322,0.593,0,0,0.0,3.1,0.9,31.7,4,82,2.8212599999999997,118.954,4.0,2011,91,0.47618488,52.0,97.7281,93.3167,2.78675,155.033,4.01017,2.54894,1.46123,4.129,24.4595,3.5239999999999996,0.605,0,428,11.57,0,0,0,0,0,0,1,1,0
3,Maarty Leunen,Oregon,32,85.8,135.3,19.0,66.4,69.59,7.9,23.5,15.5,14.1,112,142,0.789,98,161,0.609,59,120,0.49200000000000005,1.1,1.5,50.5,4,81,6.621169999999999,140.36,2.8,2008,94,1.8,54.0,102.866,97.1158,3.5296300000000005,222.794,11.1526,9.23392,1.91864,9.765,34.7188,8.596,1.169,0,485,15.16,0,0,0,0,1,0,0,1,0
4,Malik Hairston,Oregon,31,75.4,121.7,23.3,60.3,63.04,5.8,12.6,14.0,14.3,101,138,0.732,124,215,0.5770000000000001,52,120,0.433,2.9,1.2,41.2,4,78,5.33399,134.172,3.7,2008,98,1.19997745,48.0,106.963,100.44,2.84072,164.953,7.5398,6.880889999999999,0.6589010000000001,7.456,31.4839,7.095,0.361,0,505,16.29,0,0,0,0,1,0,0,0,1
5,Chris Douglas-Roberts,Memphis,40,71.2,118.0,26.2,58.8,61.74,5.0,10.5,12.8,15.5,161,226,0.7120000000000001,214,370,0.578,45,109,0.413,1.6,2.4,47.2,3,79,4.67178,132.002,2.4,2008,171,0.85542169,40.0,90.2838,86.2282,4.00766,213.71900000000002,8.87468,6.20311,2.67158,10.599,28.675,7.242000000000001,3.3569999999999998,0,724,18.1,0,0,0,1,0,0,0,0,1
6,Ryan Reid,Florida St.,31,54.8,97.5,18.3,49.1,51.58,9.9,10.0,10.1,23.2,46,77,0.597,82,167,0.491,0,0,0.0,2.6,1.5,46.1,4,80,1.18608,99.6167,2.6,2010,193,0.6862387600000001,57.0,93.5205,88.4882,2.9837700000000003,117.28399999999999,2.46254,-0.280909,2.74345,2.008,22.7097,-0.057,2.065,0,210,6.77,0,0,0,0,0,0,0,1,0
7,Kyle Singler,Duke,37,86.9,112.3,23.5,49.1,53.64,8.0,13.3,8.8,13.2,125,155,0.8059999999999999,157,316,0.49700000000000005,62,193,0.321,0.8,1.5,30.5,4,80,4.6893400000000005,123.80799999999999,3.0,2011,197,0.85712776,33.0,94.0388,89.4209,4.52346,235.792,5.6869700000000005,4.319380000000001,1.3675899999999999,6.282,34.7568,4.846,1.436,0,625,16.89,0,0,0,0,0,0,0,1,0
8,Nolan Smith,Duke,37,85.1,114.0,30.8,50.8,56.4,4.1,10.1,30.3,17.3,187,230,0.8130000000000001,203,405,0.501,57,163,0.35000000000000003,0.2,2.0,40.5,4,74,6.14746,136.99200000000002,2.3,2011,198,1.60168694,21.0,94.9421,90.2798,4.32707,221.453,7.82792,6.436640000000001,1.3912799999999999,9.238999999999999,34.027,7.428999999999999,1.81,0,764,20.65,0,0,0,0,0,0,0,0,1
9,E'Twaun Moore,Purdue,34,84.4,112.1,26.8,51.8,54.55,5.1,12.5,20.9,11.9,100,141,0.7090000000000001,151,319,0.473,70,175,0.4,1.6,2.2,28.5,4,76,5.07602,128.26,2.5,2011,201,1.77052561,55.0,93.8872,88.3413,4.51998,210.854,9.05782,6.41637,2.64146,9.272,33.8824,6.832000000000001,2.44,0,612,18.0,1,0,0,0,0,0,0,0,1
10,JaJuan Johnson,Purdue,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,4,82,5.65182,131.13,1.8,2011,203,0.5892781300000001,27.0,89.3372,84.06,5.24379,262.089,7.38064,3.23906,4.14158,9.917,35.3824,6.73,3.187,0,698,20.53,1,0,0,0,0,0,0,1,0
11,Jordan Hill,Arizona,34,86.3,108.9,28.0,53.7,56.04,15.4,22.2,9.6,17.5,117,179,0.654,252,469,0.537,0,0,0.0,5.6,1.5,38.2,3,82,5.25931,126.906,3.4,2009,215,0.51547548,8.0,101.241,94.4767,3.92113,251.58599999999998,5.45461,3.4518199999999997,2.00279,5.582000000000001,35.6765,5.763999999999999,-0.182,0,621,18.26,0,0,0,0,1,0,0,1,0
12,Chase Budinger,Arizona,35,93.7,117.5,23.9,55.4,59.42,4.9,14.8,19.0,16.6,125,156,0.8009999999999999,152,288,0.528,67,168,0.39899999999999997,1.4,2.3,34.2,3,79,6.01009,130.461,2.0,2009,217,1.3882072,44.0,105.009,98.1723,3.65529,237.463,8.026710000000001,7.095,0.931715,8.588,37.6286,7.574,1.014,0,630,18.0,0,0,0,0,1,0,0,1,0
13,Eric Maynor,VCU,34,88.0,117.3,32.6,52.4,58.33,1.6,10.0,40.8,15.4,198,243,0.8150000000000001,182,353,0.516,66,183,0.361,0.5,2.9,45.3,4,74,6.51466,137.585,2.7,2009,295,2.07920959,20.0,96.5092,95.9311,3.7065699999999997,211.625,9.05896,8.63875,0.42021800000000004,9.491,35.4706,8.006,1.485,0,760,22.35,0,0,0,1,0,0,0,0,1
14,DeVon Hardin,California,30,53.5,109.2,19.9,55.4,58.41,9.4,26.4,5.3,17.6,84,132,0.636,98,177,0.5539999999999999,0,0,0.0,5.9,1.4,74.6,4,83,2.4382599999999996,114.65,4.1,2008,300,0.46515035,50.0,100.23299999999999,94.6153,2.62168,169.128,4.2389,1.2789,2.9599900000000003,5.152,23.8,2.99,2.162,0,280,9.33,0,0,0,0,1,0,0,0,0
15,Anthony Randolph,LSU,30,81.7,96.6,27.7,46.1,50.55,9.8,18.3,8.4,19.0,112,162,0.6910000000000001,172,361,0.476,2,19,0.105,6.7,2.0,42.6,1,82,2.8064400000000003,109.51700000000001,3.4,2008,322,0.41304714,14.0,95.7412,92.012,3.93813,220.65200000000002,2.27442,-1.08139,3.35581,2.866,32.7742,1.235,1.631,0,462,15.4,0,0,0,0,0,0,1,1,0
16,Jeremy Evans,Western Kentucky,34,65.3,129.2,17.3,65.6,66.82,13.5,17.8,5.9,14.0,64,93,0.6880000000000001,134,199,0.6729999999999999,3,12,0.25,7.2,1.9,44.1,4,81,3.4974800000000004,123.09899999999999,4.4,2010,331,0.69446543,55.0,95.1372,95.7192,2.78986,192.49099999999999,8.36132,4.1854,4.17592,6.321000000000001,26.5,4.313,2.008,0,341,10.03,0,0,0,1,0,0,0,1,0
17,Derrick Caracter,UTEP,27,53.9,103.5,27.3,57.5,59.84,12.0,21.7,9.0,22.2,80,119,0.672,144,246,0.585,4,15,0.267,3.6,2.1,45.6,3,81,2.80389,115.227,4.6,2010,359,0.38959992,58.0,87.8534,84.7717,3.8088,165.952,4.346369999999999,0.8441139999999999,3.5022599999999997,4.939,26.6667,3.022,1.9169999999999998,0,380,14.07,0,0,0,1,0,0,0,1,0
18,Earl Clark,Louisville,37,85.4,100.3,24.6,49.2,51.67,9.1,18.7,18.2,22.0,90,139,0.647,171,347,0.493,31,95,0.326,4.1,1.7000000000000002,31.4,3,81,3.19342,111.212,2.2,2009,365,1.0,14.0,88.6298,82.7262,5.16034,265.066,6.48186,1.63416,4.8477,5.466,34.2703,2.802,2.6639999999999997,0,525,14.19,0,0,1,0,0,0,0,1,0
19,Kyle Weaver,Washington St.,35,81.9,105.5,25.7,50.3,56.1,4.6,16.4,28.5,21.7,126,172,0.733,114,232,0.491,24,66,0.364,2.6,3.5,57.7,4,78,3.65941,116.945,2.3,2008,375,1.55672223,38.0,89.4616,84.5155,4.80237,231.31099999999998,9.58723,3.5510599999999997,6.03616,9.707,33.1143,4.783,4.9239999999999995,0,426,12.17,0,0,0,0,1,0,0,0,1
20,Dante Cunningham,Villanova,38,78.6,109.0,24.7,52.5,55.68,9.5,17.0,8.8,15.8,124,178,0.6970000000000001,244,463,0.527,0,2,0.0,4.8,2.2,38.3,4,81,3.96602,120.61,3.4,2009,448,0.57314982,33.0,93.7175,87.6626,4.21283,260.89599999999996,6.3482199999999995,2.23828,4.10994,6.861000000000001,31.5526,4.113,2.748,0,612,16.11,0,0,1,0,0,0,0,1,0
21,Greivis Vasquez,Maryland,32,84.8,111.7,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138,161,0.857,151,320,0.472,67,186,0.36,1.0,2.9,31.8,4,78,5.77909,133.611,2.4,2010,465,1.87964444,28.0,97.2737,92.9583,3.9479300000000004,211.734,9.21009,7.703710000000001,1.5063799999999998,8.633,34.3125,7.396,1.237,0,641,20.03,0,0,0,0,0,0,0,0,1
22,Jermaine Taylor,UCF,30,79.8,112.9,36.1,55.1,58.6,7.2,12.1,17.3,14.7,133,165,0.8059999999999999,189,348,0.5429999999999999,90,240,0.375,2.7,2.3,28.1,4,76,5.8401,137.026,2.2,2009,495,0.62789968,32.0,103.12899999999999,100.725,2.8273099999999998,173.33,7.6832899999999995,8.1681,-0.484807,9.166,32.0333,10.097000000000001,-0.9309999999999999,0,781,26.03,0,0,0,1,0,0,0,0,1
23,D.J. Augustin,Texas,37,94.0,116.0,28.0,50.6,55.79,1.5,6.9,30.6,16.0,173,221,0.7829999999999999,167,354,0.472,72,189,0.381,0.0,1.9,40.7,2,72,6.668880000000001,135.86700000000002,1.7000000000000002,2008,563,2.08569774,9.0,104.48,98.8895,3.63619,202.80900000000003,6.56302,7.25546,-0.692442,7.386,37.2895,6.779,0.607,0,723,19.54,0,1,0,0,0,0,0,0,1
24,Goran Suton,Michigan St.,33,56.3,116.7,19.2,56.6,61.05,12.8,23.9,11.9,20.8,67,79,0.848,102,188,0.5429999999999999,21,48,0.43799999999999994,2.2,2.6,33.5,4,82,3.4531099999999997,122.631,3.8,2009,603,0.8620846600000001,50.0,90.3076,84.6907,3.74226,193.905,11.0917,5.60316,5.48854,10.0,25.9394,6.2170000000000005,3.783,0,334,10.12,1,0,0,0,0,0,0,0,0
