,Player,From,To,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Chris Clemons,2016,2019,Campbell,Big South,130,4433,1024,2307,580,1083,444,1224,733,860,63,524,587,335,213,47,324,265,3225
1,Doug McDermott,2011,2014,Creighton,Total,145,4569,1141,2075,867,1477,274,598,594,715,281,807,1088,194,34,14,321,265,3150
2,Mike Daum,2016,2019,South Dakota State,Summit,137,4038,1005,1994,734,1333,271,661,786,927,289,947,1236,179,78,84,299,337,3067
3,Tyler Hansbrough,2006,2009,North Carolina,ACC,142,4394,939,1752,927,1714,12,38,982,1241,482,737,1219,154,180,66,297,348,2872
4,Tyler Haws,2010,2015,Brigham Young,Total,139,4427,917,1916,755,1489,162,427,724,820,177,416,593,257,138,28,244,230,2720
5,Jon Elmore,2016,2019,Marshall,CUSA,133,4806,798,1952,442,951,356,1001,686,849,67,569,636,783,181,43,419,257,2638
6,Stephen Curry,2007,2009,Davidson,Southern,104,3387,871,1866,457,862,414,1004,479,547,81,392,473,388,221,28,314,253,2635
7,Jimmer Fredette,2008,2011,Brigham Young,MWC,139,4119,838,1843,542,1091,296,752,627,711,75,292,367,515,167,12,350,172,2599
8,Andrew Goudelock,2008,2011,College of Charleston,Southern,140,4588,956,2092,560,1134,396,958,263,314,88,376,464,424,130,37,311,212,2571
9,Jordan Howard,2015,2018,Central Arkansas,Southland,124,4311,790,1823,404,889,386,934,558,643,43,364,407,320,104,4,298,146,2524
10,Tyler Hall,2016,2019,Montana State,Big Sky,126,4160,849,1895,418,818,431,1077,389,453,87,515,602,316,122,41,245,260,2518
11,Fletcher Magee,2016,2019,Wofford,Southern,134,4261,807,1766,298,597,509,1169,393,433,44,352,396,221,93,14,208,205,2516
12,Charles Jenkins,2008,2011,Hofstra,CAA,128,4592,847,1856,667,1385,180,471,639,788,130,421,551,489,213,71,385,317,2513
13,Garrison Mathews,2016,2019,Lipscomb,A-Sun,134,3774,755,1693,395,730,360,963,608,771,139,528,667,252,117,32,275,308,2478
